Season,Game_Date,Game_Day,Type,Where,Opponent_School,Result,Tm,Opp,OT
1968,1968-01-06,Sat,REG,H,Duke,W,75,72,NA
1968,1968-01-10,Wed,REG,A,North Carolina State,W,68,66,NA
1968,1968-01-13,Sat,REG,A,Clemson,W,115,83,NA
1968,1968-01-27,Sat,REG,N,Georgia Tech,W,82,54,NA
1968,1968-02-01,Thu,REG,H,Florida State,W,86,80,NA
1968,1968-02-03,Sat,REG,A,Maryland,W,73,67,NA
1968,1968-02-06,Tue,REG,H,Virginia,W,108,64,NA
1968,1968-02-08,Thu,REG,A,Wake Forest,W,80,60,NA
1968,1968-02-10,Sat,REG,A,Virginia Tech,W,80,70,NA
1968,1968-02-12,Mon,REG,H,North Carolina State,W,96,84,NA
1968,1968-02-16,Fri,REG,N,Clemson,W,96,74,NA
1968,1968-02-17,Sat,REG,N,South Carolina,W,84,80,NA
1968,1968-02-21,Wed,REG,H,Maryland,W,83,60,NA
1968,1968-02-24,Sat,REG,A,Virginia,W,92,74,NA
1968,1968-02-28,Wed,REG,H,South Carolina,L,86,87,NA
1968,1968-03-02,Sat,REG,A,Duke,L,86,87,3OT
1968,1968-03-07,Thu,CTOURN,N,Wake Forest,W,83,70,NA
1968,1968-03-08,Fri,CTOURN,N,South Carolina,W,82,79,OT
1968,1968-03-09,Sat,CTOURN,N,North Carolina State,W,87,50,NA
1968,1968-03-15,Fri,NCAA,N,St. Bonaventure,W,91,72,NA
1968,1968-03-16,Sat,NCAA,N,Davidson,W,70,66,NA
1968,1968-03-22,Fri,NCAA,N,Ohio State,W,80,66,NA
1968,1968-03-23,Sat,NCAA,N,UCLA,L,55,78,NA
1969,1968-12-02,Mon,REG,H,Oregon,W,89,78,NA
1969,1968-12-03,Tue,REG,H,Oregon,W,106,73,NA
1969,1968-12-07,Sat,REG,A,Kentucky,W,87,77,NA
1969,1968-12-09,Mon,REG,N,Vanderbilt,W,100,78,NA
1969,1968-12-16,Mon,REG,H,Clemson,W,90,69,NA
1969,1968-12-17,Tue,REG,H,Virginia,W,94,67,NA
1969,1968-12-27,Fri,REG,N,Villanova,W,69,61,NA
1969,1968-12-28,Sat,REG,A,St. John's,L,70,72,NA
1969,1968-12-30,Mon,REG,N,Princeton,W,103,76,NA
1969,1969-01-04,Sat,REG,H,Duke,W,94,70,NA
1969,1969-01-08,Wed,REG,H,North Carolina State,W,83,63,NA
1969,1969-01-11,Sat,REG,H,Virginia Tech,W,99,77,NA
1969,1969-01-14,Tue,REG,A,Georgia Tech,W,101,70,NA
1969,1969-01-18,Sat,REG,A,Wake Forest,W,94,89,NA
1969,1969-02-01,Sat,REG,H,Maryland,W,107,87,NA
1969,1969-02-04,Tue,REG,A,Virginia,W,99,76,NA
1969,1969-02-06,Thu,REG,H,Wake Forest,W,84,76,NA
1969,1969-02-08,Sat,REG,N,Florida State,W,100,82,NA
1969,1969-02-10,Mon,REG,A,North Carolina State,W,85,62,NA
1969,1969-02-14,Fri,REG,N,South Carolina,L,66,68,NA
1969,1969-02-15,Sat,REG,N,Clemson,W,107,81,NA
1969,1969-02-19,Wed,REG,A,Maryland,W,88,86,NA
1969,1969-02-22,Sat,REG,H,Citadel,W,106,59,NA
1969,1969-02-26,Wed,REG,A,South Carolina,W,68,62,NA
1969,1969-03-01,Sat,REG,A,Duke,L,81,87,NA
1969,1969-03-06,Thu,CTOURN,N,Clemson,W,94,70,NA
1969,1969-03-07,Fri,CTOURN,N,Wake Forest,W,80,72,NA
1969,1969-03-08,Sat,CTOURN,N,Duke,W,85,74,NA
1969,1969-03-13,Thu,NCAA,N,Duquesne,W,79,78,NA
1969,1969-03-15,Sat,NCAA,N,Davidson,W,87,85,NA
1969,1969-03-20,Thu,NCAA,N,Purdue,L,65,92,NA
1969,1969-03-24,Mon,NCAA,N,Drake,L,84,104,NA
1970,1969-12-01,Mon,REG,H,Florida Southern,W,112,47,NA
1970,1969-12-03,Wed,REG,H,Mercer,W,100,52,NA
1970,1969-12-08,Mon,REG,H,Kentucky,L,87,94,NA
1970,1969-12-13,Sat,REG,N,Florida State,W,86,75,NA
1970,1969-12-16,Tue,REG,A,Virginia,W,80,76,NA
1970,1969-12-20,Sat,REG,A,Tulane,W,96,87,NA
1970,1969-12-22,Mon,REG,A,Rice,W,99,87,NA
1970,1969-12-29,Mon,REG,N,Harvard,W,92,74,NA
1970,1969-12-30,Tue,REG,N,Bowling Green State,W,89,72,NA
1970,1970-01-03,Sat,REG,H,Rice,W,98,72,NA
1970,1970-01-05,Mon,REG,A,South Carolina,L,52,65,NA
1970,1970-01-07,Wed,REG,A,North Carolina State,W,78,69,NA
1970,1970-01-10,Sat,REG,H,Duke,W,86,78,NA
1970,1970-01-15,Thu,REG,A,Clemson,W,96,91,NA
1970,1970-01-17,Sat,REG,H,Wake Forest,L,90,91,NA
1970,1970-01-31,Sat,REG,A,Maryland,W,77,69,NA
1970,1970-02-03,Tue,REG,H,Virginia,W,87,72,NA
1970,1970-02-05,Thu,REG,A,Wake Forest,L,85,88,NA
1970,1970-02-09,Mon,REG,H,North Carolina State,W,88,86,NA
1970,1970-02-13,Fri,REG,N,Clemson,W,110,66,NA
1970,1970-02-14,Sat,REG,N,Georgia Tech,L,95,104,NA
1970,1970-02-18,Wed,REG,H,Maryland,W,90,83,NA
1970,1970-02-21,Sat,REG,H,South Carolina,L,62,79,NA
1970,1970-02-25,Wed,REG,H,Virginia Tech,W,98,70,NA
1970,1970-02-28,Sat,REG,A,Duke,L,83,91,NA
1970,1970-03-05,Thu,CTOURN,N,Virginia,L,93,95,NA
1970,1970-03-14,Sat,NIT,A,Manhattan,L,90,95,NA
1971,1970-12-01,Tue,REG,H,East Tennessee State,W,109,79,NA
1971,1970-12-05,Sat,REG,A,William & Mary,W,101,72,NA
1971,1970-12-12,Sat,REG,N,Creighton,W,106,86,NA
1971,1970-12-15,Tue,REG,H,Virginia,W,80,75,NA
1971,1970-12-18,Fri,REG,A,North Carolina State,L,70,82,NA
1971,1970-12-19,Sat,REG,N,Duke,W,83,81,NA
1971,1970-12-22,Tue,REG,A,Utah,L,86,105,NA
1971,1970-12-29,Tue,REG,N,Penn State,W,73,57,NA
1971,1970-12-30,Wed,REG,N,Northwestern,W,98,74,NA
1971,1971-01-02,Sat,REG,N,Tulane,W,101,79,NA
1971,1971-01-04,Mon,REG,H,South Carolina,W,79,64,NA
1971,1971-01-09,Sat,REG,H,Duke,W,79,74,NA
1971,1971-01-14,Thu,REG,H,Clemson,W,92,72,NA
1971,1971-01-16,Sat,REG,A,Wake Forest,L,84,96,NA
1971,1971-01-30,Sat,REG,H,Maryland,W,105,79,NA
1971,1971-02-04,Thu,REG,H,Wake Forest,W,93,75,NA
1971,1971-02-08,Mon,REG,A,North Carolina State,W,65,63,NA
1971,1971-02-12,Fri,REG,N,Georgia Tech,W,87,58,NA
1971,1971-02-13,Sat,REG,N,Clemson,W,86,48,NA
1971,1971-02-17,Wed,REG,A,Maryland,W,100,76,NA
1971,1971-02-20,Sat,REG,A,South Carolina,L,66,72,NA
1971,1971-02-22,Mon,REG,H,Florida State,W,70,61,NA
1971,1971-02-27,Sat,REG,A,Virginia,W,75,74,NA
1971,1971-03-03,Wed,REG,H,North Carolina State,W,97,81,NA
1971,1971-03-06,Sat,REG,A,Duke,L,83,92,NA
1971,1971-03-11,Thu,CTOURN,N,Clemson,W,76,41,NA
1971,1971-03-12,Fri,CTOURN,N,Virginia,W,78,68,NA
1971,1971-03-13,Sat,CTOURN,N,South Carolina,L,51,52,NA
1971,1971-03-20,Sat,NIT,N,Massachusetts,W,90,49,NA
1971,1971-03-22,Mon,NIT,N,Providence,W,86,79,NA
1971,1971-03-25,Thu,NIT,N,Duke,W,73,67,NA
1971,1971-03-27,Sat,NIT,N,Georgia Tech,W,84,64,NA
1972,1971-12-02,Thu,REG,H,Rice,W,127,69,NA
1972,1971-12-04,Sat,REG,A,Pittsburgh,W,90,75,NA
1972,1971-12-06,Mon,REG,A,Princeton,L,73,89,NA
1972,1971-12-11,Sat,REG,H,Virginia Tech,W,93,60,NA
1972,1971-12-17,Fri,REG,N,Wake Forest,W,99,76,NA
1972,1971-12-18,Sat,REG,N,North Carolina State,W,99,68,NA
1972,1971-12-27,Mon,REG,N,Harvard,W,96,78,NA
1972,1971-12-29,Wed,REG,N,Saint Joseph's,W,93,77,NA
1972,1971-12-30,Thu,REG,N,Bradley,W,75,69,NA
1972,1972-01-08,Sat,REG,H,Furman,W,118,66,NA
1972,1972-01-12,Wed,REG,A,Clemson,W,81,61,NA
1972,1972-01-15,Sat,REG,A,Virginia,W,85,79,NA
1972,1972-01-19,Wed,REG,H,Wake Forest,W,92,77,NA
1972,1972-01-22,Sat,REG,A,Duke,L,74,76,NA
1972,1972-01-29,Sat,REG,H,Maryland,W,92,72,NA
1972,1972-02-03,Thu,REG,A,Wake Forest,W,71,59,NA
1972,1972-02-07,Mon,REG,H,North Carolina State,W,101,78,NA
1972,1972-02-11,Fri,REG,N,Clemson,W,73,50,NA
1972,1972-02-12,Sat,REG,A,Georgia Tech,W,118,73,NA
1972,1972-02-16,Wed,REG,A,Maryland,L,77,79,NA
1972,1972-02-19,Sat,REG,N,Notre Dame,W,99,74,NA
1972,1972-02-23,Wed,REG,H,Georgia Tech,W,87,66,NA
1972,1972-02-26,Sat,REG,A,Virginia,W,91,78,NA
1972,1972-02-29,Tue,REG,A,North Carolina State,L,84,85,NA
1972,1972-03-04,Sat,REG,H,Duke,W,93,69,NA
1972,1972-03-10,Fri,CTOURN,N,Duke,W,63,48,NA
1972,1972-03-11,Sat,REG,N,Maryland,W,73,64,NA
1972,1972-03-16,Thu,NCAA,N,South Carolina,W,92,69,NA
1972,1972-03-18,Sat,NCAA,N,Pennsylvania,W,73,59,NA
1972,1972-03-23,Thu,NCAA,N,Florida State,L,75,79,NA
1972,1972-03-25,Sat,NCAA,N,Louisville,W,105,91,NA
1973,1972-11-25,Sat,REG,H,St. Thomas,W,107,62,NA
