Season,G,Game_Date,Game_Day,Type,Where,Opponent_School,Opponent_Ranking,Conf,Result,Tm,Opp,OT,W,L,Streak,Arena
1959,24,1959-03-05,Thu,CTOURN,H,Wake Forest,NA,ACC,W,78,71,NA,13,11,W 1,Reynolds Coliseum
1959,25,1959-03-06,Fri,CTOURN,N,North Carolina,5,ACC,L,71,74,NA,13,12,L 1,Reynolds Coliseum
1960,1,1959-12-01,Tue,REG,H,Georgia Tech,NA,SEC,L,49,59,NA,0,1,L 1,Cameron Indoor Stadium
1960,2,1959-12-05,Sat,REG,H,Clemson,NA,ACC,W,68,59,NA,1,1,W 1,Cameron Indoor Stadium
1960,3,1959-12-12,Sat,REG,A,South Carolina,NA,ACC,W,72,70,NA,2,1,W 2,Carolina Fieldhouse
1960,4,1959-12-18,Fri,REG,A,Alabama,NA,SEC,W,78,60,NA,3,1,W 3,Birmingham City Auditorium
1960,5,1959-12-19,Sat,REG,N,Navy,NA,Ind,W,76,71,NA,4,1,W 4,Birmingham City Auditorium
1960,6,1959-12-28,Mon,REG,H,Utah,6,MSAC,W,63,52,NA,5,1,W 5,Raleigh Memorial Auditorium
1960,7,1959-12-29,Tue,REG,N,North Carolina,NA,ACC,L,53,75,NA,5,2,L 1,Raleigh Memorial Auditorium
1960,8,1959-12-30,Wed,REG,H,Dayton,NA,Ind,L,63,71,3OT,5,3,L 2,Raleigh Memorial Auditorium
1960,9,1960-01-04,Mon,REG,H,Bucknell,NA,Mid-Atl,W,72,36,NA,6,3,W 1,Cameron Indoor Stadium
1960,10,1960-01-09,Sat,REG,H,North Carolina State,NA,ACC,W,47,34,NA,7,3,W 2,Cameron Indoor Stadium
1960,11,1960-01-12,Tue,REG,A,Clemson,NA,ACC,W,50,41,NA,8,3,W 3,Clemson Field House
